Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131682.9954166,39.0186992,-104.8937427,2166.83,0.615,168.4
1732131683.016069,39.0186992,-104.8937427,2166.83,0.615,168.4
1732131683.0365596,39.018699,-104.8937425,2166.89,0.677,168.34
1732131683.097634,39.018699,-104.8937425,2166.89,0.677,168.34
1732131683.1181493,39.0186985,-104.8937424,2166.92,0.701,168.21
1732131683.1386404,39.0186985,-104.8937424,2166.92,0.701,168.21
1732131683.1591203,39.0186985,-104.8937425,2166.9,0.683,168.0
1732131683.2204447,39.0186985,-104.8937425,2166.9,0.683,168.0
1732131683.240983,39.0186983,-104.8937425,2166.87,0.653,167.92
1732131683.2614748,39.0186983,-104.8937425,2166.87,0.653,167.92
1732131683.2819316,39.0186982,-104.8937427,2166.87,0.65,167.78
1732131683.3430717,39.0186982,-104.8937427,2166.87,0.65,167.78
1732131683.3636053,39.0186981,-104.8937425,2166.86,0.643,167.62
1732131683.3840647,39.0186981,-104.8937425,2166.86,0.643,167.62
1732131683.4047067,39.0186981,-104.8937423,2166.89,0.676,167.78
1732131683.4657965,39.0186981,-104.8937423,2166.89,0.676,167.78
1732131683.4862618,39.0186982,-104.8937425,2166.86,0.642,170.12
1732131683.5067825,39.0186982,-104.8937425,2166.86,0.642,170.12
1732131683.5273626,39.0186981,-104.8937426,2166.84,0.628,170.01
1732131683.5885205,39.0186981,-104.8937426,2166.84,0.628,170.01
1732131683.609173,39.018698,-104.8937428,2166.85,0.635,170.0
1732131683.6398492,39.0186977,-104.893743,2166.87,0.657,169.74
1732131683.690904,39.0186977,-104.893743,2166.87,0.657,169.74
1732131683.711373,39.0186975,-104.893743,2166.87,0.658,170.02
1732131683.7420075,39.0186976,-104.893743,2166.86,0.643,170.84
1732131683.793311,39.0186976,-104.893743,2166.86,0.643,170.84
1732131683.8138216,39.0186975,-104.8937429,2166.89,0.672,170.98
1732131683.8546102,39.0186975,-104.8937433,2166.84,0.627,169.01
1732131683.8753116,39.0186975,-104.8937433,2166.84,0.627,169.01
1732131683.9162796,39.0186975,-104.8937433,2166.84,0.627,169.01
1732131683.9368505,39.0186972,-104.8937433,2166.84,0.627,169.17
1732131683.9776092,39.0186972,-104.8937435,2166.84,0.624,169.03
1732131683.9980607,39.0186972,-104.8937435,2166.84,0.624,169.03
1732131684.0388622,39.0186972,-104.8937435,2166.84,0.624,169.03
1732131684.0593529,39.0186972,-104.8937437,2166.84,0.628,169.21
1732131684.1002986,39.0186973,-104.8937438,2166.85,0.632,169.11
1732131684.1207914,39.0186973,-104.8937438,2166.85,0.632,169.11
1732131684.1616006,39.0186973,-104.8937438,2166.85,0.632,169.11
1732131684.1821465,39.0186972,-104.8937436,2166.85,0.635,169.05
1732131684.2230136,39.0186972,-104.8937437,2166.84,0.621,168.95
1732131684.2435074,39.0186972,-104.8937437,2166.84,0.621,168.95
1732131684.2843537,39.0186972,-104.8937437,2166.84,0.621,168.95
1732131684.3049138,39.0186971,-104.8937437,2166.83,0.614,168.9
1732131684.3457048,39.0186969,-104.8937438,2166.82,0.603,168.8
1732131684.3661902,39.0186969,-104.8937438,2166.82,0.603,168.8
1732131684.4070249,39.0186969,-104.8937438,2166.82,0.603,168.8
1732131684.4274838,39.0186968,-104.8937439,2166.81,0.596,168.71
1732131684.4682121,39.0186969,-104.8937441,2166.78,0.564,168.7
1732131684.4887452,39.0186969,-104.8937441,2166.78,0.564,168.7
1732131684.5295768,39.0186969,-104.8937441,2166.78,0.564,168.7
1732131684.550234,39.0186969,-104.8937441,2166.79,0.579,168.63
1732131684.591056,39.0186969,-104.8937441,2166.82,0.601,168.54
1732131684.6115272,39.0186969,-104.8937441,2166.82,0.601,168.54
1732131684.6522317,39.0186969,-104.8937441,2166.82,0.601,168.54
1732131684.672703,39.0186968,-104.8937441,2166.85,0.635,168.45
1732131684.7134597,39.0186965,-104.893744,2166.88,0.663,168.36
1732131684.7340295,39.0186965,-104.893744,2166.88,0.663,168.36
1732131684.7748015,39.0186965,-104.893744,2166.88,0.663,168.36
1732131684.7954009,39.0186966,-104.8937441,2166.87,0.655,168.29
1732131684.8361335,39.0186966,-104.8937443,2166.9,0.682,168.16
1732131684.856731,39.0186966,-104.8937443,2166.9,0.682,168.16
1732131684.8975918,39.0186966,-104.8937443,2166.9,0.682,168.16
1732131684.9180515,39.0186966,-104.8937443,2166.92,0.703,168.07
1732131684.9588766,39.0186964,-104.8937443,2166.91,0.696,167.99
1732131684.9793448,39.0186964,-104.8937443,2166.91,0.696,167.99
1732131685.0201283,39.0186964,-104.8937443,2166.91,0.696,167.99
1732131685.0406008,39.0186962,-104.8937443,2166.93,0.715,167.9
1732131685.08138,39.0186963,-104.893744,2166.96,0.747,167.81
1732131685.101902,39.0186963,-104.893744,2166.96,0.747,167.81
1732131685.1426673,39.0186963,-104.893744,2166.96,0.747,167.81
1732131685.1633015,39.0186963,-104.8937438,2166.97,0.751,167.72
1732131685.204127,39.0186961,-104.8937438,2166.96,0.741,167.65
1732131685.2245908,39.0186961,-104.8937438,2166.96,0.741,167.65
1732131685.2654107,39.0186961,-104.8937438,2166.96,0.741,167.65
1732131685.2858894,39.018696,-104.8937436,2166.96,0.749,167.56
1732131685.326702,39.0186958,-104.8937435,2167.0,0.782,167.47
1732131685.3474138,39.0186958,-104.8937435,2167.0,0.782,167.47
1732131685.3881943,39.0186958,-104.8937435,2167.0,0.782,167.47
1732131685.4087677,39.0186959,-104.8937435,2167.0,0.784,167.39
1732131685.4495606,39.0186958,-104.8937434,2167.0,0.781,167.29
1732131685.4701376,39.0186958,-104.8937434,2167.0,0.781,167.29
1732131685.5109935,39.0186958,-104.8937434,2167.0,0.781,167.29
1732131685.5315475,39.0186956,-104.8937431,2167.01,0.799,167.21
1732131685.5723543,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.5930467,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.6338089,39.0186957,-104.893743,2167.01,0.796,167.12
1732131685.6542919,39.0186956,-104.8937428,2167.0,0.007,167.04
