Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131682.9954166,39.0187385,-104.8936684,2164.53,0.059,205.47
1732131683.016069,39.0187385,-104.8936687,2164.52,0.045,205.4
1732131683.0365596,39.0187385,-104.8936687,2164.52,0.045,205.4
1732131683.097634,39.0187386,-104.8936688,2164.55,0.069,205.34
1732131683.1181493,39.0187386,-104.8936688,2164.55,0.069,205.34
1732131683.1386404,39.0187387,-104.8936691,2164.53,0.057,205.29
1732131683.1591203,39.0187387,-104.8936691,2164.53,0.057,205.29
1732131683.2204447,39.0187389,-104.8936695,2164.52,0.04,205.25
1732131683.240983,39.0187389,-104.8936695,2164.52,0.04,205.25
1732131683.2614748,39.0187392,-104.8936702,2164.5,0.02,205.23
1732131683.2819316,39.0187392,-104.8936702,2164.5,0.02,205.23
1732131683.3430717,39.0187393,-104.8936704,2164.51,0.035,205.22
1732131683.3636053,39.0187393,-104.8936704,2164.51,0.035,205.22
1732131683.3840647,39.0187397,-104.893671,2164.57,0.096,205.18
1732131683.4047067,39.0187397,-104.893671,2164.57,0.096,205.18
1732131683.4657965,39.0187397,-104.8936711,2164.62,0.141,205.14
1732131683.4862618,39.0187397,-104.8936711,2164.62,0.141,205.14
1732131683.5067825,39.0187397,-104.8936713,2164.66,0.186,205.12
1732131683.5273626,39.0187397,-104.8936713,2164.66,0.186,205.12
1732131683.5885205,39.0187397,-104.8936717,2164.67,0.197,205.08
1732131683.609173,39.0187397,-104.8936717,2164.67,0.197,205.08
1732131683.6398492,39.0187397,-104.8936717,2164.67,0.197,205.08
1732131683.690904,39.0187396,-104.8936719,2164.76,0.289,205.0
1732131683.711373,39.0187396,-104.8936719,2164.76,0.289,205.0
1732131683.7420075,39.0187396,-104.8936719,2164.76,0.289,205.0
1732131683.793311,39.0187395,-104.893672,2164.8,0.329,204.95
1732131683.8138216,39.0187395,-104.893672,2164.8,0.329,204.95
1732131683.8546102,39.0187395,-104.893672,2164.8,0.329,204.95
1732131683.8753116,39.0187396,-104.8936721,2164.8,0.326,204.92
1732131683.9162796,39.0187397,-104.8936721,2164.79,0.312,204.89
1732131683.9368505,39.0187397,-104.8936721,2164.79,0.312,204.89
1732131683.9776092,39.0187397,-104.8936721,2164.79,0.312,204.89
1732131683.9980607,39.0187397,-104.8936722,2164.8,0.321,204.87
1732131684.0388622,39.0187397,-104.8936723,2164.81,0.331,204.84
1732131684.0593529,39.0187397,-104.8936723,2164.81,0.331,204.84
1732131684.1002986,39.0187397,-104.8936723,2164.81,0.331,204.84
1732131684.1207914,39.0187399,-104.8936726,2164.84,0.363,204.81
1732131684.1616006,39.01874,-104.8936727,2164.86,0.383,204.77
1732131684.1821465,39.01874,-104.8936727,2164.86,0.383,204.77
1732131684.2230136,39.01874,-104.8936727,2164.86,0.383,204.77
