BREAK,2025-04-09 07:25:06.392283,,,,
Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-09 07:25:36.607400,,,,
BREAK,2025-04-09 07:25:47.900664,,,,
1744205164.6057532,39.0173061,-104.8924712,2171.06,10.989,143.43
1744205164.864037,39.0173061,-104.8924712,2171.06,10.989,143.43
1744205165.6242619,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205165.8836617,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205166.623597,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205166.9024718,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205167.9237611,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205167.9650216,39.0173061,-104.8924712,2171.07,10.99,143.43
1744205168.640977,39.0173061,-104.8924711,2171.07,10.99,143.43
1744205168.9431522,39.0173061,-104.8924711,2171.07,10.99,143.43
1744205169.6492367,39.0173061,-104.892471,2171.07,10.99,143.43
1744205169.9520392,39.0173061,-104.892471,2171.07,10.99,143.43
1744205170.6513386,39.0173061,-104.892471,2171.06,10.988,150.18
1744205170.953457,39.0173061,-104.892471,2171.06,10.988,150.18
1744205171.670679,39.0173061,-104.892471,2171.06,10.988,160.25
1744205171.9453096,39.0173061,-104.892471,2171.06,10.988,160.25
1744205172.7053509,39.0173061,-104.892471,2171.07,10.99,170.32
1744205172.9629614,39.0173061,-104.892471,2171.07,10.99,170.32
1744205173.7274065,39.0173061,-104.892471,2171.07,10.99,180.37
1744205173.9734693,39.0173061,-104.892471,2171.07,10.99,180.37
1744205174.747291,39.0173061,-104.892471,2171.07,10.99,190.42
1744205174.9788437,39.0173061,-104.892471,2171.07,10.99,190.42
1744205175.7490342,39.0173061,-104.892471,2171.07,10.99,200.45
1744205175.9811058,39.0173061,-104.892471,2171.07,10.99,200.45
1744205176.7724674,39.0173061,-104.892471,2171.07,10.99,210.48
1744205177.0045474,39.0173061,-104.892471,2171.07,10.99,210.48
1744205177.822083,39.0173061,-104.892471,2171.06,10.989,220.51
1744205177.9952385,39.0173061,-104.892471,2171.06,10.989,220.51
1744205178.8791075,39.017306,-104.8924711,2171.06,10.987,230.53
1744205179.0004976,39.017306,-104.8924711,2171.06,10.987,230.53
1744205179.8762362,39.017306,-104.8924711,2171.07,10.99,240.57
1744205180.0068772,39.017306,-104.8924711,2171.07,10.99,240.57
1744205180.9135003,39.017306,-104.8924711,2171.07,10.99,250.6
1744205181.0468035,39.017306,-104.8924711,2171.07,10.99,250.6
1744205181.9485016,39.017306,-104.8924711,2171.07,10.99,260.63
1744205182.0540788,39.017306,-104.8924711,2171.07,10.99,260.63
1744205182.963957,39.017306,-104.8924711,2171.07,10.99,270.65
1744205183.07212,39.017306,-104.8924711,2171.07,10.99,270.65
1744205183.9901023,39.017306,-104.8924712,2171.07,10.99,280.67
1744205184.108187,39.017306,-104.8924712,2171.07,10.99,280.67
1744205184.9939344,39.017306,-104.8924712,2171.06,10.988,290.69
1744205185.117815,39.017306,-104.8924712,2171.06,10.988,290.69
1744205186.0114212,39.017306,-104.8924712,2171.06,10.987,300.7
1744205186.1519332,39.017306,-104.8924712,2171.06,10.987,300.7
1744205187.0194156,39.017306,-104.8924713,2171.07,10.989,310.73
1744205187.180593,39.017306,-104.8924713,2171.07,10.989,310.73
1744205188.0246632,39.017306,-104.8924713,2171.07,10.99,320.75
1744205188.186044,39.017306,-104.8924713,2171.07,10.99,320.75
1744205189.0815845,39.017306,-104.8924713,2171.07,10.99,330.74
1744205189.1978765,39.017306,-104.8924713,2171.07,10.99,330.74
1744205190.0888886,39.0173061,-104.8924714,2171.07,10.99,345.78
1744205190.204442,39.0173061,-104.8924714,2171.07,10.99,345.78
1744205191.0969014,39.0173061,-104.8924714,2171.07,10.99,355.79
1744205191.2103136,39.0173061,-104.8924714,2171.07,10.99,355.79
1744205192.1057692,39.0173061,-104.8924714,2171.06,10.988,5.8
1744205192.232709,39.0173061,-104.8924714,2171.06,10.988,5.8
1744205193.1316853,39.0173061,-104.8924714,2171.06,10.989,15.8
1744205193.2548618,39.0173061,-104.8924714,2171.06,10.989,15.8
1744205194.1443987,39.0173061,-104.8924714,2171.07,10.99,25.81
1744205194.2765062,39.0173061,-104.8924714,2171.07,10.99,25.81
1744205195.157876,39.0173062,-104.8924714,2171.07,10.99,35.83
1744205195.2984087,39.0173062,-104.8924714,2171.07,10.99,35.83
1744205196.1866922,39.0173062,-104.8924714,2171.07,10.99,45.84
1744205196.2992938,39.0173062,-104.8924714,2171.07,10.99,45.84
1744205197.1777837,39.0173062,-104.8924714,2171.06,10.989,55.84
1744205197.3119755,39.0173062,-104.8924714,2171.06,10.989,55.84
1744205198.1966,39.0173062,-104.8924713,2171.06,10.988,65.85
1744205198.3274899,39.0173062,-104.8924713,2171.06,10.988,65.85
1744205199.2247024,39.0173063,-104.8924713,2171.07,10.99,75.86
1744205199.3406577,39.0173063,-104.8924713,2171.07,10.99,75.86
