Time,Latitude,Longitude,Altitude,Relative Altitude,Heading,State
BREAK,2025-04-29 10:40:33.181699,,,,,
1745944838.308023,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.LOCATE
1745944838.369789,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.ALTITUDE_CONTROL
1745944838.390551,39.0187816,-104.8939694,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944839.4117658,39.0187816,-104.8939694,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944840.4761114,39.0187816,-104.8939694,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944841.4970016,39.0187816,-104.8939694,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944842.5180814,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944843.5389955,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944844.6210873,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944845.6418858,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944846.6628954,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944847.683812,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944848.745528,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944849.76629,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944850.7872763,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944851.849433,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944852.8709698,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944853.9124575,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944854.933254,39.0187816,-104.8939694,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944855.9750462,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944856.9960747,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944858.0375261,39.0187816,-104.8939694,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944859.0994222,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944860.120289,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944861.141227,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944862.1626122,39.0187816,-104.8939694,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944863.2244756,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944864.2453682,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944865.2867897,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944866.3077013,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944867.3693879,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944868.390067,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944869.4109511,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944870.4728458,39.0187816,-104.8939695,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944871.4949634,39.0187816,-104.8939695,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944872.5363677,39.0187816,-104.8939695,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944873.5571632,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944874.6189213,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944875.6397169,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944876.660736,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944877.6817553,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944878.7437854,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944879.7854326,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944880.8063219,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944881.8477564,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944882.8685038,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944883.9099104,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944884.930849,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944885.9928145,39.0187816,-104.8939695,2171.08,11.008,179.66,DiscoStates.COORD_CONTROL
1745944887.013797,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944888.0348618,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944889.096667,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944890.1181128,39.0187816,-104.8939695,2171.09,11.01,179.66,DiscoStates.COORD_CONTROL
1745944891.13943,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944892.1605182,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944893.2429662,39.0187816,-104.8939695,2171.09,11.011,179.66,DiscoStates.COORD_CONTROL
1745944894.263948,39.0187816,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745944895.2847998,39.0187816,-104.8939695,2171.09,11.009,179.67,DiscoStates.COORD_CONTROL
1745944896.3058674,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944897.3691142,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944898.4105074,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944899.4315825,39.0187816,-104.8939695,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944900.4731407,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944901.4941652,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944902.5357618,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944903.5569897,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944904.6188102,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944905.6398442,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944906.6608748,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944907.7224789,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944908.7432125,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944909.7640545,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944910.7849786,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944911.8673503,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944912.8883696,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944913.9093716,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
1745944914.9307299,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944915.9925067,39.0187816,-104.8939695,2171.09,11.011,179.67,DiscoStates.COORD_CONTROL
1745944917.013392,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944918.0341501,39.0187816,-104.8939695,2171.08,11.009,179.67,DiscoStates.COORD_CONTROL
1745944919.095919,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944920.1168284,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944921.1606061,39.0187816,-104.8939695,2171.08,11.008,179.67,DiscoStates.COORD_CONTROL
1745944922.1815557,39.0187816,-104.8939695,2171.08,11.009,179.66,DiscoStates.COORD_CONTROL
1745944923.2228425,39.0187816,-104.8939695,2171.09,11.01,179.67,DiscoStates.COORD_CONTROL
