Latitude,Longitude
39.01839185,-104.8934699
39.01837676,-104.8934534
39.01836231,-104.8934372
39.01835085,-104.8934239
39.01833343,-104.8934038
39.01831996,-104.8933909
39.01830583,-104.8933768
39.01829289,-104.8933616
39.01828017,-104.8933477
39.01826879,-104.8933341
39.01825613,-104.8933209
39.01824196,-104.8933035
39.01822901,-104.8932907
39.01821592,-104.8932769
39.01820232,-104.8932621
39.01818796,-104.8932476
39.01817545,-104.8932339
39.01816222,-104.8932187
39.0181498,-104.8932055
39.0181356,-104.8931907
39.01812307,-104.8931767
39.01811056,-104.8931631
39.01809585,-104.8931483
39.0180829,-104.8931339
39.01806928,-104.8931198
39.01805697,-104.8931059
39.01804309,-104.8930892
39.0180296,-104.8930751
39.01801639,-104.8930611
39.01800412,-104.8930484
39.01799081,-104.8930344
39.01797876,-104.8930218
39.01796547,-104.8930051
39.01795304,-104.8929887
39.01794027,-104.8929775
39.01792611,-104.8929619
39.01791315,-104.8929482
39.01789957,-104.8929345
39.01788618,-104.8929203
39.01787297,-104.8929063
39.01785833,-104.8928893
39.01784494,-104.8928751
39.01782555,-104.8928533
39.01781333,-104.8928398
39.01779944,-104.892825
39.01778677,-104.8928121
39.01777359,-104.8927965
39.01776087,-104.8927823
39.01774764,-104.892769
39.01773472,-104.8927567
39.01772134,-104.8927431
