Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
BREAK,2025-04-17 10:51:25.553718,,,,
1744908692.1139245,39.0187854,-104.8935697,2168.32,1.485,195.67
1744908692.1757371,39.0187854,-104.8935697,2168.32,1.485,195.67
1744908692.1964865,39.0187848,-104.8935686,2168.53,1.695,195.74
1744908692.2171588,39.0187848,-104.8935686,2168.53,1.695,195.74
1744908692.278749,39.0187848,-104.8935686,2168.53,1.695,195.74
1744908692.2997305,39.0187848,-104.8935686,2168.53,1.695,195.74
1744908692.3203356,39.0187849,-104.8935684,2168.74,1.907,195.94
1744908692.341006,39.0187849,-104.8935684,2168.74,1.907,195.94
1744908692.4027312,39.0187849,-104.8935684,2168.74,1.907,195.94
1744908692.4233747,39.0187849,-104.8935684,2168.74,1.907,195.94
1744908692.4646726,39.0187849,-104.8935684,2168.74,1.907,195.94
1744908692.4853234,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.5468822,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.5677435,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.5886192,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.6297023,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.650318,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.6913228,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.7120461,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.7532194,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.7738502,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.8149164,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.835555,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.87644,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.897215,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.9383423,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908692.9591243,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.0003324,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.0210307,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.062335,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.0831187,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.124196,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.144952,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.1861155,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.2067595,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.247793,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.2684693,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.3092873,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.3299558,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.371301,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.392087,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.4336674,39.0187858,-104.8935698,2169.15,2.317,196.0
1744908693.454331,39.0187858,-104.8935698,2169.15,2.317,196.0
BREAK,2025-04-17 11:02:35.443625,,,,,
1744909371.7151814,39.0187197,-104.8935576,2157.17,-0.108,179.18,DiscoStates.LOCATE
1744909371.7361774,39.0187198,-104.8935578,2157.18,0.031,179.06,DiscoStates.LOCATE
1744909371.7568915,39.0187198,-104.8935578,2157.18,0.031,179.06,DiscoStates.LOCATE
1744909371.8187733,39.0187198,-104.8935578,2157.18,0.031,179.06,DiscoStates.LOCATE
1744909371.839467,39.0187198,-104.8935578,2157.18,0.031,179.06,DiscoStates.LOCATE
1744909371.8703876,39.0187198,-104.8935578,2157.18,0.031,179.06,DiscoStates.LOCATE
1744909371.921825,39.01872,-104.8935578,2157.05,0.476,178.84,DiscoStates.LOCATE
1744909371.942528,39.01872,-104.8935578,2157.05,0.476,178.84,DiscoStates.ALTITUDE_CONTROL
1744909371.98365,39.01872,-104.8935578,2157.05,0.476,178.84,DiscoStates.ALTITUDE_CONTROL
1744909372.0452452,39.01872,-104.8935578,2157.05,0.476,178.84,DiscoStates.ALTITUDE_CONTROL
1744909372.0660574,39.0187202,-104.893558,2157.35,0.772,178.69,DiscoStates.ALTITUDE_CONTROL
1744909372.0868003,39.0187202,-104.893558,2157.35,0.772,178.69,DiscoStates.ALTITUDE_CONTROL
1744909372.1074843,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.1691272,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.2105882,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.231414,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.28255,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.3132758,39.0187203,-104.8935585,2157.75,1.173,178.54,DiscoStates.ALTITUDE_CONTROL
1744909372.3339388,39.0187204,-104.8935586,2158.1,1.52,178.45,DiscoStates.ALTITUDE_CONTROL
1744909372.3957617,39.0187204,-104.8935586,2158.1,1.52,178.45,DiscoStates.ALTITUDE_CONTROL
1744909372.4368668,39.0187204,-104.8935586,2158.1,1.52,178.45,DiscoStates.ALTITUDE_CONTROL
1744909372.4579527,39.0187203,-104.8935586,2158.35,1.776,178.34,DiscoStates.ALTITUDE_CONTROL
1744909372.4992535,39.0187203,-104.8935586,2158.35,1.776,178.34,DiscoStates.ALTITUDE_CONTROL
1744909372.520133,39.0187203,-104.8935586,2158.35,1.776,178.34,DiscoStates.ALTITUDE_CONTROL
1744909372.5612721,39.0187203,-104.8935586,2158.35,1.776,178.34,DiscoStates.ALTITUDE_CONTROL
1744909372.581949,39.0187203,-104.8935588,2158.7,2.122,178.29,DiscoStates.ALTITUDE_CONTROL
1744909372.6432753,39.0187203,-104.8935588,2158.7,2.122,178.29,DiscoStates.ALTITUDE_CONTROL
1744909372.6665006,39.0187203,-104.8935588,2158.7,2.122,178.29,DiscoStates.ALTITUDE_CONTROL
1744909372.687063,39.0187203,-104.8935588,2158.7,2.122,178.29,DiscoStates.ALTITUDE_CONTROL
1744909372.7484062,39.0187203,-104.8935591,2158.87,2.295,178.22,DiscoStates.ALTITUDE_CONTROL
1744909372.7689173,39.0187203,-104.8935591,2158.87,2.295,178.22,DiscoStates.ALTITUDE_CONTROL
1744909372.7895901,39.0187201,-104.8935592,2158.89,2.319,178.17,DiscoStates.ALTITUDE_CONTROL
1744909372.8103726,39.0187201,-104.8935592,2158.89,2.319,178.17,DiscoStates.ALTITUDE_CONTROL
1744909372.892027,39.0187201,-104.8935592,2158.89,2.319,178.17,DiscoStates.ALTITUDE_CONTROL
1744909372.9128106,39.0187202,-104.8935592,2158.85,2.276,178.12,DiscoStates.ALTITUDE_CONTROL
1744909372.9334848,39.0187202,-104.8935592,2158.85,2.276,178.12,DiscoStates.ALTITUDE_CONTROL
1744909372.9540935,39.0187202,-104.8935592,2158.78,2.203,178.1,DiscoStates.ALTITUDE_CONTROL
1744909373.015519,39.0187202,-104.8935592,2158.78,2.203,178.1,DiscoStates.ALTITUDE_CONTROL
1744909373.036159,39.0187202,-104.8935589,2158.69,2.112,178.09,DiscoStates.ALTITUDE_CONTROL
1744909373.056777,39.0187202,-104.8935589,2158.69,2.112,178.09,DiscoStates.ALTITUDE_CONTROL
1744909373.1181417,39.0187202,-104.893559,2158.57,1.991,178.09,DiscoStates.ALTITUDE_CONTROL
1744909373.1387088,39.0187202,-104.893559,2158.57,1.991,178.09,DiscoStates.ALTITUDE_CONTROL
1744909373.179538,39.0187202,-104.893559,2158.57,1.991,178.09,DiscoStates.ALTITUDE_CONTROL
1744909373.2001126,39.0187204,-104.8935591,2158.44,1.86,178.08,DiscoStates.ALTITUDE_CONTROL
1744909373.2412496,39.0187204,-104.8935591,2158.29,1.712,178.08,DiscoStates.ALTITUDE_CONTROL
1744909373.261964,39.0187204,-104.8935591,2158.29,1.712,178.08,DiscoStates.ALTITUDE_CONTROL
1744909373.302835,39.0187204,-104.8935591,2158.29,1.712,178.08,DiscoStates.ALTITUDE_CONTROL
