Latitude,Longitude
39.01770916,-104.8927286
39.01769697,-104.8927141
39.01768321,-104.8927007
39.01766981,-104.892686
39.01765622,-104.8926691
39.01764455,-104.8926554
39.01763893,-104.8926485
39.01763849,-104.8926482
39.01763766,-104.8926485
39.01763719,-104.8926503
39.01764185,-104.8926562
39.01765533,-104.8926668
39.0176767,-104.8926855
39.01770077,-104.8927094
39.01773228,-104.8927445
39.01776848,-104.8927871
39.01779817,-104.8928224
39.01784087,-104.8928688
39.01788073,-104.8929128
39.01791208,-104.892947
39.01794639,-104.8929853
